Roaster,Name,Rating,Roaster Location,Coffee Origin,Roast Level,DollarsPerOz,Aroma,Flavor,Agtron Ext,Agtron Gnd,Roast_Level_num,Latitude,Longitude
RamsHead Coffee Roasters,Ethiopia Guji Mormora Organic Natural,94,Montana,Ethiopia,Light,1.58,9,9,62,80,0,8.0,38.0
JBC Coffee Roasters,Chelbesa Ethiopia,95,Wisconsin,Gedeb,Medium-Light,2.25,9,9,58,78,1,8.0,38.0
RamsHead Coffee Roasters,Colombia La Riviera Sudan Rume,94,Montana,Colombia,Medium-Light,3.0,9,9,58,76,1,4.0,-72.0
JBC Coffee Roasters,Alaka Ethiopia,94,Wisconsin,Ethiopia,Medium-Light,1.5,9,9,62,78,1,8.0,38.0
Paradise Roasters,Kona Liberica Champagne Natural,93,Minnesota,Big Island,Medium-Light,12.5,9,9,60,76,1,19.8968,-155.5828
JBC Coffee Roasters,El Triunfo Mexico,93,Wisconsin,Mexico,Medium-Light,1.33,9,9,56,78,1,23.0,-102.0
RamsHead Coffee Roasters,Out of Africa Blend,92,Montana,Ethiopia,Medium-Light,1.5,9,9,58,78,1,8.0,38.0
Baba Java Coffee,Winter Wonder Blend,91,Alabama,Brazil,Medium,1.25,8,9,52,64,2,-10.0,-55.0
Red Rooster Coffee Roaster,Kenya Gachatha Nyeri AA,96,Virginia,Kenya,Medium-Light,1.87,9,10,60,76,1,1.0,38.0
Big Shoulders Coffee,Ethiopia Super Wush,95,Illinois,Ethiopia,Light,2.17,9,9,62,80,0,8.0,38.0
Red Rooster Coffee Roaster,Ethiopia Worka Sakaro Anaerobic Natural,94,Virginia,Gedeb,Medium-Light,1.62,9,9,59,77,1,8.0,38.0
Big Shoulders Coffee,Colombia La Esperanza Anaerobic,94,Illinois,Colombia,Medium-Light,3.5,9,9,54,74,1,4.0,-72.0
Big Shoulders Coffee,Ethiopia Gogogu Bekaka #1,94,Illinois,Ethiopia,Light,2.08,9,9,64,86,0,8.0,38.0
Lexington Coffee Roasters,Kenya Gichathaini,95,Virginia,Kenya,Medium-Light,2.08,9,9,60,78,1,1.0,38.0
Dragonfly Coffee Roasters,Elida Estate Dragonfly Catuai Lot 13,94,Nevada,Panama,Medium-Light,1.88,10,9,55,71,1,9.0,-80.0
JBC Coffee Roasters,Banko Gotiti Natural,93,Wisconsin,Ethiopia,Medium-Light,1.67,9,9,60,78,1,8.0,38.0
Dragonfly Coffee Roasters,Elida Estate ASD Natural Catuai 15,94,Nevada,Panama,Medium-Light,2.5,9,9,57,75,1,9.0,-80.0
Mystic Monk Coffee,Indonesian Island Blend,92,Wyoming,Sumatra,Medium,1.25,8,9,50,68,2,-5.0,120.0
Mystic Monk Coffee,FTO Ethiopian,92,Wyoming,Ethiopia,Medium-Light,1.16,9,9,52,70,1,8.0,38.0
Chromatic Coffee,Yemen Port of Mokha Al-Jabal,94,California,Yemen,Medium-Light,6.0,9,9,58,76,1,15.0,48.0
Collage Coffee,Yemen Mokha Matari,93,Pennsylvania,Yemen,Medium-Light,2.5,9,9,59,77,1,15.0,48.0
Dragonfly Coffee Roasters,Yemen Mocha Haimi,93,Nevada,Yemen,Medium-Light,5.0,9,9,57,77,1,15.0,48.0
Equator Coffees,Yemen Sana’a,93,California,Yemen,Light,5.33,9,9,62,84,0,15.0,48.0
RamsHead Coffee Roasters,Peru Finca Churupampa,93,Montana,Peru,Medium-Light,1.41,9,9,56,76,1,-10.0,-76.0
Durango Coffee Company,Colombia La Esperanza Potosí Anaerobic Process,94,Colorado,Colombia,Medium-Light,1.58,9,9,57,73,1,4.0,-72.0
RamsHead Coffee Roasters,Honduras Finca Las Moras Parainema Yellow Honey,93,Montana,Honduras,Medium-Light,1.41,9,9,58,76,1,15.0,-86.5
Regent Coffee,Blossom Blend Espresso,93,California,El Salvador,Medium-Light,1.62,9,9,56,78,1,13.83,-88.92
Kona Love Coffee Co.,Kona Medium Roast,92,Hawai,Big Island,Medium-Light,2.92,9,9,52,70,1,19.8968,-155.5828
Kona Love Coffee Co.,Kona Medium-Dark Roast,90,Hawai,Big Island,Medium,2.92,9,8,46,64,2,19.8968,-155.5828
Paradise Roasters,Panama Hacienda La Esmeralda Ethiopia Accessions,95,Minnesota,Panama,Light,6.24,9,9,62,82,0,9.0,-80.0
Barrington Coffee Roasting,The Natural,93,Massachusetts,Ethiopia,Medium-Light,1.41,9,9,52,70,1,8.0,38.0
Paradise Roasters,Guji Hamasho Washed,94,Minnesota,Ethiopia,Medium-Light,2.08,9,9,56,82,1,8.0,38.0
Paradise Roasters,Kona Red Wine Process,94,Minnesota,Big Island,Medium-Light,6.24,9,9,56,76,1,19.8968,-155.5828
JBC Coffee Roasters,Candelilla Geisha Natural,95,Wisconsin,Costa Rica,Light,2.69,9,9,62,80,0,10.0,-84.0
JBC Coffee Roasters,Kiamugumo Kenya,95,Wisconsin,Kenya,Medium-Light,1.75,9,9,58,80,1,1.0,38.0
Equator Coffees,Ethiopia Sidama Ardi,95,California,Ethiopia,Light,1.58,9,9,64,86,0,8.0,38.0
SkyTop Coffee,Colombia Gesha,94,New York,Colombia,Medium-Light,2.25,9,9,60,77,1,4.0,-72.0
Lexington Coffee Roasters,Ethiopia Kayon Mountain Washed,94,Virginia,Ethiopia,Medium-Light,1.66,9,9,60,78,1,8.0,38.0
Coffee by Design,Kenya Nyeri Kiandu AA,92,Maine,Kenya,Medium-Light,1.16,9,9,59,75,1,1.0,38.0
Lexington Coffee Roasters,Ethiopia Kayon Mountain Natural,93,Virginia,Ethiopia,Medium-Light,1.66,9,9,60,78,1,8.0,38.0
Jaunt Coffee Roasters,Ethiopia Gedeb Worka Wuri,95,California,Gedeb,Light,2.17,9,9,62,80,0,8.0,38.0
VN Beans,Hung Farm,93,California,Vietnam,Medium-Light,1.83,9,9,58,76,1,16.0,106.0
True Coffee Roasters,Brazil Peixoto Peaberry,92,Wisconsin,Brazil,Medium-Light,1.03,9,9,56,74,1,-10.0,-55.0
Jaunt Coffee Roasters,Kenya Muranga Riakiberu,92,California,Kenya,Medium-Light,2.0,9,9,58,76,1,1.0,38.0
Cafe Unido,Mama Cata Mokkita,95,Washington,Panama,Medium-Light,6.67,9,9,54,72,1,9.0,-80.0
Temple Coffee Roasters,Kenya Karatina,94,California,Kenya,Medium-Light,1.96,9,9,56,74,1,1.0,38.0
JBC Coffee Roasters,La Reforma El Salvador Natural,94,Wisconsin,El Salvador,Medium-Light,1.71,9,9,58,77,1,13.83,-88.92
Jackrabbit Java,Ethiopia Gogogu Bekaka #4,93,Wyoming,Ethiopia,Medium-Light,1.33,9,9,56,78,1,8.0,38.0
Fresh Roasted Coffee,Congo Umoja,92,Pennsylvania,Congo,Medium-Light,1.33,8,9,58,74,1,-1.0,15.0
Big Shoulders Coffee,Tanzania Ngila Estate,93,Illinois,Tanzania,Medium-Light,2.08,9,9,60,78,1,-6.0,35.0
Temple Coffee Roasters,Mexico Pluma Hidalgo,93,California,Mexico,Medium-Light,1.96,9,9,54,74,1,23.0,-102.0
JBC Coffee Roasters,Bella Carmona Guatemala,92,Wisconsin,Guatemala,Light,1.42,9,9,62,80,0,15.5,-90.25
JBC Coffee Roasters,Pluma Hidalgo Mexico,92,Wisconsin,Mexico,Medium-Light,1.33,9,9,60,78,1,23.0,-102.0
Fresh Roasted Coffee,Rwanda Abakundakawa,92,Pennsylvania,Rwanda,Medium-Light,1.33,9,9,54,72,1,-2.0,30.0
Metropolis Coffee,House Blend,91,Illinois,Colombia,Medium,1.05,9,9,42,60,2,4.0,-72.0
Metropolis Coffee,Breakfast Blend,90,Illinois,Colombia,Medium-Light,1.05,8,8,56,75,1,4.0,-72.0
