Roaster,Name,Rating,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,Acidity
Baba Java Coffee,Colombia Huila,91,"Hoover, Alabama","Huila Department, Colombia",Light,63/79,$18.00/12 ounces,October2019,8,8,8,9,8,,
Campos Coffee,Panama Hacienda La Esmeralda Super Mario Geisha,96,"Newtown, Sydney, Australia","Boquete growing region, western Panama",Medium-Light,54/78,AUD $18.00/18 grams,October2019,9,9,9,10,9,,
Cafe Grumpy,Tablon La Cima,91,"Brooklyn, New York","Santa Ana region, El Salvador",Medium-Light,58/74,$20.00/12 ounces,October2019,8,8,8,9,8,,
South Slope Coffee Roasters,Nicaragua Finca Idealista,92,"Asheville, North Carolina","Matagalpa growing region, Nicaragua",Medium-Light,54/68,$18.00/12 ounces,October2019,9,8,8,9,8,,
Souvenir Coffee,Ethiopia Guji Gerbicho Natural,92,"Berkeley, California","Guji Zone, southern Ethiopia",Medium-Light,54/76,$16.00/12 ounces,October2019,9,8,8,9,8,,
Foggy Hills Coffee Company,Guatemala San Cristobal,91,"Berkeley, California","San Cristobal, Cobán, Alta Verapaz, Guatemala",Medium-Light,52/70,$13.50/8 ounces,October2019,8,8,8,9,8,,
SkyTop Coffee,Peru Paltachayoc,91,"Manlius, New York","Cusco Department, La Convención Province, Santa Teresa District, Peru",Medium,47/64,$15.00/12 ounces,October2019,8,8,8,9,8,,
Coffeebar,Ethiopia Sidama Naia Bomb Natural Vertical Reserve,93,"Truckee, California","Jimma Zone, Oromia State, Ethiopia",Medium-Light,59/77,$20.00/12 ounces,October2019,9,9,8,9,8,,
Looking Homeward Coffee,Hernan Zuniga Ecuador,93,"Seattle, Washington","Pichincha Province, north-central Ecuador",Medium-Light,53/71,$15.00/250 grams,October2019,9,9,8,9,8,,
Pedestrian Coffee,Ethiopia Guji Uraga,93,"Lake Forest, Illinois","Guji Zone, southern Ethiopia",Medium-Light,58/76,$15.00/10 ounces,October2019,9,8,9,9,8,,
Stereo Coffee Roasters,Kenya Gakundu FCS Kamviu Wet Mill,94,"Toronto, Ontario, Canada","Embu County, Eastern Province, Kenya",Medium-Light,56/78,CAD $21.00/12 ounces,October2019,9,9,9,9,8,,
Coava Coffee Roasters,Rukira Kenya,94,"Portland, Oregon","Nyeri growing region, south-central Kenya",Medium-Light,58/80,$15.00/250 grams,October2019,9,9,9,9,8,,
Coava Coffee Roasters,Nayo Ovalle Guatemala,92,"Portland, Oregon","La Libertad, Huehuetenango, Guatemala",Light,69/78,$14.50/12 ounces,October2019,9,8,8,9,8,,
JBC Coffee Roasters,Gesha Village Lot #85 Natural,95,"Madison, Wisconsin","Bench-Maji Zone, southern Ethiopia",Medium-Light,54/72,$39.95/8 ounces*,October2019,9,9,9,9,9,,
Durango Coffee Company,Colombia La Esperanza Natural XO,92,"Durango, Colorado","Valle de Cauca, Colombia",Medium,50/64,$19.95/8 ounces,October2019,9,8,8,9,8,,
Branch Street Coffee Roasters,Ethiopia Limu Nano Challa Lot #10,94,"Youngstown, Ohio","Jimma Zone, Oromia State, Ethiopia",Medium-Light,54/74,$16.25/10 ounces,September2019,9,9,9,9,8,,
Willoughby's Coffee & Tea,Best of Panama GNEP-01 Elida Geisha Green Tip Natural,97,"Branford, Connecticut","Boquete growing region, western Panama",Medium-Light,55/73,See website for more information,September2019,9,10,9,10,9,,
Bird Rock Coffee Roasters,Geisha XO,96,"San Diego, California","Valle de Cauca, Colombia",Medium,54/62,$60.00/8 ounces,September2019,9,9,9,10,9,,
Klatch Coffee,Colombia Finca La Maria Geisha Natural,96,"Los Angeles, California","La Mesa, Cundinamarca, Colombia",Medium-Light,57/74,$54.95/6 ounces,September2019,9,9,9,10,9,,
Dragonfly Coffee Roasters,Panama Hacienda La Esmeralda Super Mario 6 Geisha,95,"Boulder, Colorado","Boquete growing region, western Panama",Medium-Light,51/71,$60.00/8 ounces,September2019,9,9,9,9,9,,
Caffe Luxxe,Panama Geisha Alto Jaramillo,94,"Santa Monica, California","Alto Jaramillo, Boquete growing region, western Panama",Medium-Light,53/71,$40.00/4 ounces,September2019,9,9,9,9,8,,
Mudhouse Coffee Roasters,Gesha Village 1931 Lot 27,94,"Charlottesville, Virginia","Bench-Maji Zone, southern Ethiopia",Medium-Light,60/78,$50.00/8 ounces,September2019,9,9,9,9,8,,
Jebena Coffees,Ethiopia Guji Girma Natural,92,"Dubai, United Arab Emirates","Guji Zone, southern Ethiopia",Medium-Light,58/76,AED $103.95/250 grams,September2019,9,8,8,9,8,,
Jebena Coffees,Ethiopia Limu Lema Edeto,90,"Dubai, United Arab Emirates","Limu growing region, southwest Ethiopia",Medium-Light,58/76,AED $99.75/250 grams,September2019,8,8,8,8,8,,
Temple Coffee Roasters,Ethiopia Sidamo Gora Kone,94,"Sacramento, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,59/72,$19.00/12 ounces,September2019,9,9,8,9,9,,
JBC Coffee Roasters,Kebele Village Espresso,94,"Madison, Wisconsin","Yirgacheffe growing region, southern Ethiopia",Medium-Light,52/70,$17.10/12 ounces,September2019,9,,9,9,8,9,
JBC Coffee Roasters,Kebele Village Ethiopia,93,"Madison, Wisconsin","Yirgacheffe growing region, southern Ethiopia",Medium-Light,52/70,$17.10/12 ounces,September2019,9,9,8,9,8,,
Jackrabbit Java,Panama Finca San Sebastian,94,"Thermopolis, Wyoming","Boquete growing region, western Panama",Medium-Light,53/71,$12.00/12 ounces,August2019,9,9,9,9,8,,
